Date,Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
06/11/2021,Hasbro Inc.,HAS,1323658,0.03,16.53
06/11/2021,Iron Mountain Inc.,IRM,2988660,0.03,79.0
06/11/2021,Host Hotels & Resorts Inc.,HST,7310532,0.03,67.15
06/11/2021,Snap-on Incorporated,SNA,561736,0.03,34.5
06/11/2021,Tapestry Inc.,TPR,2879309,0.03,78.31
06/11/2021,Universal Health Services Inc. Class B,UHS,806592,0.03,15.68
06/11/2021,Lamb Weston Holdings Inc.,LW,1516695,0.03,-14.21
06/11/2021,BorgWarner Inc.,BWA,2476519,0.03,30.86
06/11/2021,Lincoln National Corporation,LNC,1869566,0.03,106.85
06/11/2021,F5 Networks Inc.,FFIV,638344,0.03,65.43
06/11/2021,Mohawk Industries Inc.,MHK,611438,0.03,49.89
06/11/2021,Pentair plc,PNR,1721095,0.03,43.18
06/11/2021,Penn National Gaming Inc.,PENN,1541683,0.03,3.4
06/11/2021,CF Industries Holdings Inc.,CF,2217527,0.03,122.06
06/11/2021,Marathon Oil Corporation,MRO,8180965,0.03,299.77
06/11/2021,Mosaic Company,MOS,3575652,0.03,122.99
06/11/2021,Henry Schein Inc.,HSIC,1476019,0.03,33.63
06/11/2021,W. R. Berkley Corporation,WRB,1452396,0.03,29.22
06/11/2021,Norwegian Cruise Line Holdings Ltd.,NCLH,3766058,0.03,78.96
06/11/2021,DISH Network Corporation Class A,DISH,2563906,0.03,42.81
06/11/2021,DXC Technology Co.,DXC,2638084,0.03,80.02
06/11/2021,Newell Brands Inc,NWL,3916178,0.03,27.87
06/11/2021,Regency Centers Corporation,REG,1636436,0.03,111.56
06/11/2021,NRG Energy Inc.,NRG,2535242,0.03,10.91
06/11/2021,Molson Coors Beverage Company Class B,TAP,1950594,0.03,24.99
06/11/2021,Everest Re Group Ltd.,RE,414442,0.03,29.25
06/11/2021,News Corporation Class A,NWSA,4053186,0.03,79.99
06/11/2021,Robert Half International Inc.,RHI,1172133,0.03,132.13
06/11/2021,Comerica Incorporated,CMA,1442030,0.03,100.62
06/11/2021,Invesco Ltd.,IVZ,3901512,0.03,88.95
06/11/2021,A. O. Smith Corporation,AOS,1402917,0.03,47.94
06/11/2021,NiSource Inc,NI,4003771,0.03,7.02
06/11/2021,Western Union Company,WU,4258280,0.03,-10.44
06/11/2021,Assurant Inc.,AIZ,628440,0.03,29.11
06/11/2021,Pinnacle West Capital Corporation,PNW,1167729,0.03,-21.46
06/11/2021,Campbell Soup Company,CPB,2103315,0.03,-14.59
06/11/2021,Sealed Air Corporation,SEE,1605031,0.02,51.61
06/11/2021,Globe Life Inc.,GL,984738,0.02,13.25
06/11/2021,Kimco Realty Corporation,KIM,4481347,0.02,126.84
06/11/2021,Juniper Networks Inc.,JNPR,3401016,0.02,56.14
06/11/2021,Nielsen Holdings Plc,NLSN,3707460,0.02,52.1
06/11/2021,DaVita Inc.,DVA,747780,0.02,13.87
06/11/2021,Zions Bancorporation N.A.,ZION,1701518,0.02,109.47
06/11/2021,Franklin Resources Inc.,BEN,2827303,0.02,86.49
06/11/2021,Huntington Ingalls Industries Inc.,HII,417250,0.02,28.73
06/11/2021,Discovery Inc. Class C,DISCK,3005063,0.02,37.47
06/11/2021,Federal Realty Investment Trust,FRT,720160,0.02,84.39
06/11/2021,APA Corp.,APA,3915877,0.02,232.59
06/11/2021,Organon & Co.,OGN,2620891,0.02,3628.0
06/11/2021,PVH Corp.,PVH,736742,0.02,101.23
06/11/2021,Rollins Inc.,ROL,2294453,0.02,-12.29
06/11/2021,IPG Photonics Corporation,IPGP,372410,0.02,-11.61
06/11/2021,Alaska Air Group Inc.,ALK,1287034,0.02,57.01
06/11/2021,Vornado Realty Trust,VNO,1626379,0.02,40.93
06/11/2021,People's United Financial Inc.,PBCT,4409642,0.02,70.01
06/11/2021,Cabot Oil & Gas Corporation,COG,4138407,0.02,38.98
06/11/2021,Gap Inc.,GPS,2131848,0.02,18.92
06/11/2021,Leggett & Platt Incorporated,LEG,1378280,0.02,6.08
06/11/2021,Hanesbrands Inc.,HBI,3614366,0.02,9.9
06/11/2021,Perrigo Co. Plc,PRGO,1379720,0.02,12.3
06/11/2021,NOV Inc.,NOV,4023028,0.02,61.99
06/11/2021,Unum Group,UNM,2110867,0.02,45.72
06/11/2021,Ralph Lauren Corporation Class A,RL,499734,0.02,85.62
06/11/2021,U.S. Dollar,CASH_USD,57067884,0.01,
06/11/2021,Fox Corporation Class B,FOX,1592933,0.01,51.83
06/11/2021,Discovery Inc. Class A,DISCA,1676163,0.01,29.18
06/11/2021,Under Armour Inc. Class A,UAA,1958798,0.01,73.75
06/11/2021,Under Armour Inc. Class C,UA,2033074,0.01,67.11
06/11/2021,News Corporation Class B,NWS,1271842,0.01,81.45
